AIR GUA INOLI YG TERLUAS DI BUTENG,"M9XX+F9X, Lalibo, Buton Regency",-5.3012649,122.3984956,"travel_agency, point_of_interest, establishment",ChIJ-zJ8-6GDoy0RmHL42Ykjs0Y
Air Terjun Kogawuna,"HMG8+QGX, Lakologou, Bau-Bau City",-5.4230241,122.6663601,"tourist_attraction, point_of_interest, establishment",ChIJf_djCKN1pC0R4ohVjGEHYVM
Air Terjun Moramo,"QPHW+M27, Sumber Sari, Kabupaten Konawe Selatan",-4.2208421,122.7450313,"tourist_attraction, point_of_interest, establishment",ChIJC5kz2gyfmC0RJ-cNwqLkfKs
Black hole,"PQFW+GV3, Wakalambe, Buton Regency",-5.2762368,122.7971649,"park, point_of_interest, establishment",ChIJz748bADzoy0RuYLb0VaKKrY
BTN Apolu Valey (permandian),"M866+6F, Sanggi-Sanggi, South Konawe Regency",-4.3393853,122.3111541,"point_of_interest, establishment",ChIJQ5OYAFyBoi0RyZtHs38PTTg
Cave Una,"PGCF+F3R, Moko, Buton Regency",-5.2787619,122.5226322,"cafe, food, point_of_interest, establishment",ChIJ2cCpC5KFoy0RTmv7NTmkVc0
Danau Gumanano,"J853+XFH, Gumamano, Buton Regency",-5.3900548,122.3037402,"tourist_attraction, point_of_interest, establishment",ChIJOze-uFZ-oy0RdlrKfFNzljs
Danau Moko 1,"RHFM+69Q, Oempu, Muna Regency",-5.1769017,122.5834691,"tourist_attraction, point_of_interest, establishment",ChIJC_Xbs9iWoy0Rlq-oIOEceYs
Danau Napabale,"Lohia, Muna Regency",-4.9047766,122.7532569,"tourist_attraction, point_of_interest, establishment",ChIJqeLUv5rJoy0R3BIvboK7gpE
Danau Napabale,"Danau Napabale, Indonesia",-4.5417722,122.4512726,"natural_feature, establishment",ChIJHaQX8ktnoi0Rk0V0mca2I8g
Goa Air Besar,"HHGQ+WRC, One Waara, Buton Regency",-5.4226969,122.5895226,"school, point_of_interest, establishment",ChIJfwXYE_F3pC0RJGklZH7MUls
Goa Bidadari,"MJ55+FFR, Kolowa, Kabupaten Buton Tengah",-5.3412613,122.6086443,"tourist_attraction, point_of_interest, establishment",ChIJZecDKEaJoy0Rg72rLWJ7U8k
Goa Kakaha,"MG5Q+79G, Wanepa Nepa, Buton Regency",-5.3418167,122.5384569,"tourist_attraction, point_of_interest, establishment",ChIJ4RsILwCJoy0RcDQwwg0-0CQ
Goa Lapahia,"MJMM+X2J, Wakea Kea, Buton Regency",-5.3150406,122.6325071,"tourist_attraction, point_of_interest, establishment",ChIJVWoXkqaNoy0Rbnz6i6ywkxY
goa laulawi,"JFQ9+F98, Wantopi, Buton Regency",-5.361239,122.467727,"tourist_attraction, point_of_interest, establishment",ChIJB8lYANGHoy0RsIJZKlmWlSY
Goa Liang Kamoi,"QRXQ+27C, Unnamed Rd, Wakangka, Kabupaten Buton",-5.2024445,122.8381485,"tourist_attraction, point_of_interest, establishment",ChIJo8CF2fHuoy0R83PIa8cF4_E
Goa maobu,"M9PW+HFH, Lalibo, Buton Regency",-5.3135669,122.3962241,"tourist_attraction, point_of_interest, establishment",ChIJOU9753iDoy0RJqH9h0PJuWo
Goa saowlia,"HHJJ+44, One Waara, Buton Regency",-5.41975,122.5803508,"tourist_attraction, point_of_interest, establishment",ChIJcYjmNgB3pC0RnPvr4xK279o
Gua,"3W2W+V4X, Bubu, North Buton Regency",-4.9477548,122.9453453,"tourist_attraction, point_of_interest, establishment",ChIJyWjYJgDRoy0RtvZHiKxY4C4
Gua Inoli Lalibo,"M9XX+F9H, Lalibo, Buton Regency",-5.3013047,122.3984895,"park, point_of_interest, establishment",ChIJfTL1YI2Doy0RC-JNVONwSQo
Gua Kahohondo,"JCQH+P3G, Bonemarambe, Buton Regency",-5.3606915,122.4276945,"park, point_of_interest, establishment",ChIJX4C-L-eBoy0Rmaz8EQmxEf8
Gua Kamonu,"RHFG+5PX, Oempu, Muna Regency",-5.1770222,122.5768651,"tourist_attraction, point_of_interest, establishment",ChIJK5iFVxWXoy0RB06I8HuWnSQ
Gua Kasimbuno,"P838+CH, Wasilomata II, Buton Regency",-5.2963998,122.3163764,"tourist_attraction, point_of_interest, establishment",ChIJoyJZ3SZ5oy0RREl7Xyct2b8
Gua Koo,"M997+MFV, Lakorua, Buton Regency",-5.3300388,122.3647943,"tourist_attraction, point_of_interest, establishment",ChIJc9cEd6ODoy0RyrjNgQj18Yg
Gua La Kolumbu Prehistoric Rock Art,"4M38+49, Kotano Wuna, Muna Regency",-4.89725,122.6658889,"point_of_interest, establishment",ChIJafypfwC1oy0RIeTwZxxe1RA
Gua La Taa Desa Kamama,"MJPQ+R7W, Wakea Kea, Buton Regency",-5.3128946,122.6381985,"tourist_attraction, point_of_interest, establishment",ChIJXUGsp7eNoy0RGiHilgAw01g
Gua Lakainsai,"M9CC+V62, Lakorua, Buton Regency",-5.3278702,122.3705141,"moving_company, storage, point_of_interest, establishment",ChIJxwnWPFmDoy0R0Svr9EHxTbI
Gua lakawonto,"P879+GR, Oengkolaki, Buton Regency",-5.28614,122.319582,"park, point_of_interest, establishment",ChIJGw0eSgB5oy0RQqI3_WZ1y6I
Gua Landilee,"Q84R+R7V, Polindu, Buton Regency",-5.2436488,122.3409669,"park, point_of_interest, establishment",ChIJ6UzgFvR3oy0RmHzoORDESEA
Gua Laukusi,"2PR3+7WW, Kotano Wuna, Muna Regency",-4.9592509,122.7048384,"park, point_of_interest, establishment",ChIJe9PyP1i3oy0RscdIna8_s00
Gua Laumehe,"JFG8+8GQ, Wantopi, Buton Regency",-5.3741551,122.466355,"tourist_attraction, point_of_interest, establishment",ChIJpbHpNZuHoy0Rf1MiDj42CL8
Gua Liangkobori,"4M25+CVF, Kotano Wuna, Muna Regency",-4.8989263,122.6596683,"museum, point_of_interest, establishment",ChIJVzsGlye0oy0RLd2_QvTyymg
Gua maasima,"3QF3+4HG, Lakarinta, Muna Regency",-4.9271985,122.7539613,"tourist_attraction, point_of_interest, establishment",ChIJO2M9HgDJoy0Rkhe9I8pWUGk
Gua Maria Baubau,"HMW7+VVC, Jl. Anoa, Liabuku, Kota Bau-Bau",-5.4028085,122.664636,"museum, point_of_interest, establishment",ChIJBa-U3TN1pC0RPQbuR3wF_wc
"Gua Maria Liabuku, Bungi, kota Bau-bau sulawesi tenggara","HMV6+GWX, Liabuku, Bau-Bau City",-5.4061274,122.6623622,"place_of_worship, point_of_interest, establishment",ChIJozwvmo91pC0RvvVwuKTV0J0
Gua Mata Air Bone,"RFGM+RMP, Dekat, Matombura, Kabupaten Muna",-5.1729071,122.4841908,"tourist_attraction, point_of_interest, establishment",ChIJmW8mplOboy0RSjvrwI1JHJo
Gua Mata Air Kamonu,"RH6J+X3R, Oempu, Muna Regency",-5.1875086,122.5801442,"tourist_attraction, point_of_interest, establishment",ChIJdz-1VyqXoy0Rrizit-EXQXc
Gua Meleura,"3QC4+W4W, Gua Meleura, Lakarinta, Kabupaten Muna",-4.9276398,122.7553152,"point_of_interest, establishment",ChIJmxMPUazJoy0RSmeiPyBpu30
Gua Moko,"M729+6GF, Wakambangura, Kabupaten Buton Tengah",-5.3494461,122.2687987,"tourist_attraction, point_of_interest, establishment",ChIJE_jQMSV5oy0ReIy8OKqhCCg
Gua Pingilai,"M8W5+5X, Wasilomata II, Buton Regency",-5.3045733,122.3099753,"tourist_attraction, point_of_interest, establishment",ChIJy0eqwhF5oy0Rz0URLDFxnUw
Gua Pominsa Prehistoric Rock Art,"3MQC+Q6, Kotano Wuna, Muna Regency",-4.9105556,122.6705278,"point_of_interest, establishment",ChIJvxedBwC3oy0ROdd60IvpPiY
Gua Titalo,"3PWV+27R, Unnamed Road, Lohia, Kabupaten Muna",-4.9048908,122.743138,"point_of_interest, establishment",ChIJo4h0M2HJoy0Rwm0vZ3NdetE
Intan Hole,"Q44M+GFH, Nambo Jaya, Konawe Regency",-4.2436855,123.1337468,"tourist_attraction, point_of_interest, establishment",ChIJCXcwVwD_oS0RqWsdi2t__fQ
Jl. Loji,Muna Regency,-4.8938344,122.6608632,route,ChIJ58SfODC0oy0RDoiBAfMNfkg
Jual beli tanaman hias,"Lahandua, dusun Lembah Harapan, RT.8/RW.3, Abadi Jaya, Muna Barat",-4.8421224,122.3700167,"home_goods_store, store, point_of_interest, establishment",ChIJN_yxkLtVoi0RsyqtOR5pulE
Kadai Ula,"Wadiabero, Buton Regency",-5.3455188,122.6116619,"tourist_attraction, point_of_interest, establishment",ChIJbTWtxGiJoy0RbHpLnnYJl3c
Kadena Glamping Dive Resort - Muna Island,"Jl. Poros Lombe No.Desa, RW.Kamama, Wakea Kea, Buton Tengah",-5.3155071,122.6334774,"lodging, point_of_interest, establishment",ChIJddNhA0ONoy0Rav0vz7wWv80
Kalimalima Waterfall,"5VQV+7WC, Moolo, Muna Regency",-4.8118105,122.8947726,"tourist_attraction, point_of_interest, establishment",ChIJ4Sm33qsyoi0RRU4czcykuME
Kamali Plt Raja Muna,"5P88+W8J, Mangga Kuning, Muna Regency",-4.8326037,122.7157621,"lodging, point_of_interest, establishment",ChIJ5XZXBIG1oy0RoUw7KY2rgWk
Kamama Mekar,"MJPQ+R98, Rahia, Buton Regency",-5.3129571,122.6384381,"point_of_interest, establishment",ChIJJYy0bAeNoy0RijUZGKUOZiI
Kelapa Gading Water Park,"JMGX+P6R, Waliabuku, Bau-Bau City",-5.3731416,122.6980122,"tourist_attraction, amusement_park, point_of_interest, establishment",ChIJ11wr4cKKoy0RuMN6A-ERass
Kolam permandian air mumbul opojan,"RQG2+C3, Todanga, Buton Regency",-5.1739375,122.7501875,"tourist_attraction, point_of_interest, establishment",ChIJP3flACvroy0RZI6UIwWQEgA
Kolam Permandian Liabuku,"HMX7+7VH, Liabuku, Bau-Bau City",-5.4018173,122.6647461,"point_of_interest, establishment",ChIJwXyg8lV1pC0RxL_2HDPnFss
Kolam Renang Banyu Biru,"JMGP+HVW, Ngkari-Ngkari, Bau-Bau City",-5.3735145,122.6872062,"tourist_attraction, point_of_interest, establishment",ChIJw1-qFd6Loy0R0Axl3fqBXqg
Kolam Renang Raha,"5P9H+HVF, Pulau, Muna Regency",-4.8310554,122.7296843,"point_of_interest, establishment",ChIJ8R9h17HKoy0Rl0EnWO4gBdI
Kolam renang RORAYA KEREN,"H532+7V, Roraya, South Konawe Regency",-4.446849,122.152249,"tourist_attraction, point_of_interest, establishment",ChIJO9gRPgCRoi0RpOx1Mhwkigg
Kotaeono Cave,"MJVV+74Q, Desa, Dusun Uncume, Rahia, Kabupaten Buton Tengah",-5.3067777,122.6428585,"tourist_attraction, point_of_interest, establishment",ChIJtxpB2NqNoy0RWcDwyyRKqkY
La Ode Panu,"RHCM+8H, Oempu, Muna Regency",-5.1791696,122.5839398,"point_of_interest, establishment",ChIJozH_pFmXoy0RH4VwnJedFv0
Lapangan Lembah Hijau Hamid La Guna,"M7G9+XF, Napa, Buton Regency",-5.3225887,122.2687423,"point_of_interest, establishment",ChIJB5rETAB5oy0R4WA5sf20ciI
Lembah Lambusango,"QRXW+G52, Wakangka, Buton Regency",-5.2012462,122.8454049,"park, point_of_interest, establishment",ChIJF4rprCjvoy0R8iTnJf4Ih7s
Liangkobori,Muna Regency,-4.8757205,122.6743638,"administrative_area_level_4, political",ChIJX4GqVbK1oy0ResjNqWtHd1k
Maa Laadi Brutal Cave,"J9JH+55Q, Watorumbe Bata, Buton Regency",-5.3698927,122.3768243,"tourist_attraction, point_of_interest, establishment",ChIJC3C4OwCBoy0R4nfLr-8bsgA
Maket Lembah Kurma Al Anbawi,"M9MX+3CG, Anggondara, South Konawe Regency",-4.3173047,122.3985871,"point_of_interest, establishment",ChIJr4UcesZ_oi0RRgfbICSYiqQ
Mata air matara/lia lumili,"M8WP+4F, Wasilomata I, Buton Regency",-5.3047336,122.3363203,"spa, point_of_interest, establishment",ChIJ33ELGAB5oy0RJoRbjjDrALY
name,address,latitude,longitude,types,place_id
Napabale Lake,"3QR4+QP3, Desa Loghia, Kabupaten Muna",-4.9081003,122.7567894,"tourist_attraction, point_of_interest, establishment",ChIJ24WoWZnJoy0RVg2xmIfsHz8
Napabale Nature Tourism,"3QW3+63G, Lohia, Muna Regency",-4.9044379,122.752715,"tourist_attraction, point_of_interest, establishment",ChIJQ_v0WxXJoy0RD5Jl1uxBSpE
Pantai Gubahi,"HCVV+WJ3, Lasori, Buton Regency",-5.4052436,122.4440395,"tourist_attraction, point_of_interest, establishment",ChIJLaYbf62Aoy0RHUHrOtfdmLQ
Pantai Katembe,"Madongka, Buton Regency",-5.4063177,122.5127077,"park, tourist_attraction, point_of_interest, establishment",ChIJ8foqbIuHoy0RDbkzINBv72E
Pantai Walengkabola,"RH2R+V39, Jl. Tanjung, Oempu, Kabupaten Muna",-5.1978488,122.5902306,"tourist_attraction, point_of_interest, establishment",ChIJl5oObi-Roy0RcSOWQDnbmYU
Pantai Wantopi,"JFG9+GP5, Tengah, Kabupaten Buton",-5.373493,122.468712,"tourist_attraction, point_of_interest, establishment",ChIJG1JwH_GHoy0REmiKXWRLe68
Pemandian Air Kambara,"HHR9+322, Wara, Buton Regency",-5.4098635,122.5675066,"point_of_interest, establishment",ChIJoe9KEtl3pC0R92CL5j6OGF8
Pemandian Air Lamunde,"J9CF+8GR, Gundu-Gundu, Buton Regency",-5.3791257,122.3737529,"tourist_attraction, point_of_interest, establishment",ChIJW-rDicuBoy0R9sh5R3esRB0
Pemandian Ma'obu,"M9PW+GFW, Lalibo, Mawasangka Tengah, Lalibo, Kabupaten Buton",-5.3136323,122.3962056,"tourist_attraction, point_of_interest, establishment",ChIJq6qqqtqCoy0Rw-jkN8tRLeA
PEMANDIAN MERARANO,"39RP+PFW, Sangia Tiworo, Muna Regency",-4.9081409,122.3861979,"park, point_of_interest, establishment",ChIJJZ1w8iSqoy0RNGQO58nVqFQ
Permadian Mata Air Lambiku,"8M5P+6J4, Labone, Muna Regency",-4.6919899,122.6865763,"tourist_attraction, point_of_interest, establishment",ChIJlcy31PJJoi0RzNuUwgJwNjs
Permandian Air Jatuh,"MF4Q+CVX, Batubanawa, Buton Regency",-5.3439786,122.489811,"point_of_interest, establishment",ChIJjQZcUgCHoy0RVHm_LC3UiRE
Permandian air kelata,"HP7W+CGQ, Gonda Baru, Bau-Bau City",-5.4364136,122.7463686,"lodging, point_of_interest, establishment",ChIJ7eUMdAALpC0RrvXLHJNmz6Y
Permandian Air Panas Karede,"5XFP+9C6, Buranga, North Buton Regency",-4.8265839,122.9860159,"point_of_interest, establishment",ChIJDz6zQG_Toy0REmgnbke0tKM
Permandian air terjun Moramo,"QPFP+F7W, Sumber Sari, South Konawe Regency",-4.2262591,122.7356932,"tourist_attraction, point_of_interest, establishment",ChIJEV40m_2hmC0R0uflVNXgowE
Permandian Air Tiga,"JG5G+9V5, Boneoge, Buton Regency",-5.3916046,122.5272278,"point_of_interest, establishment",ChIJYRnrYbaHoy0RHoocKW4gSSY
Permandian Bungi,"HMH4+VC2, Lakologou, Bau-Bau City",-5.4203661,122.6560208,"tourist_attraction, point_of_interest, establishment",ChIJxeDLfUF1pC0R4rxumkr1Zv4
permandian bura,"5H92+3HM, Lapolea, Muna Regency",-4.832288,122.5514155,"tourist_attraction, point_of_interest, establishment",ChIJOUkANwBNoi0RRiYgm6sUDe8
Permandian Foninto Wandiri,"4VP7+P6M, Labunia(Pure), Muna Regency",-4.8631542,122.8630461,"tourist_attraction, point_of_interest, establishment",ChIJmZqc1uLNoy0RjMHVLnykG-0
Permandian Fotu,"R926+MPC, Dahiango, Buton Regency",-5.1983225,122.3617618,"point_of_interest, establishment",ChIJU1yKvsSfoy0REcTVq-Z5Zeg
Permandian Goa Kafokotiu,"RCX3+92R, Upt Bone Tondo II, Muna Regency",-5.1515226,122.4025034,"tourist_attraction, point_of_interest, establishment",ChIJjZJXOG-foy0RfDBxxo1n0iU
Permandian Hasan nudin,"PGQV+5G, Mone, Buton Regency",-5.2620096,122.5437563,"park, point_of_interest, establishment",ChIJNVaUAwCRoy0RmIYpF0JGFjE
Permandian Jiini,"5MPH+FG, Bangkali, Muna Regency",-4.813764,122.678814,"point_of_interest, establishment",ChIJv68tdXNLoi0RwweifZOeXJc
Permandian kaaghi,"4GM2+JFW, Jl. Poros, Lakanaha, Kabupaten Muna",-4.8658975,122.5011973,"tourist_attraction, point_of_interest, establishment",ChIJ78xYznWtoy0RKE6JBDTCUWc
PERMANDIAN KAMPOLELE(Teluk lasongko),"PGQP+M7F, Mone, Buton Regency",-5.2608023,122.5356768,"spa, point_of_interest, establishment",ChIJf0D8Th2boy0ROj2Ld6Gza4k
Permandian Kanconaa,"HVFG+45Q, Kancinaa, Buton Regency",-5.4271506,122.8754698,"point_of_interest, establishment",ChIJyQlSz_QIpC0RF-t49LNyldE
Permandian kaone one,"QR82+RH, Watumotobe, Buton Regency",-5.233344,122.800748,"tourist_attraction, point_of_interest, establishment",ChIJUWNNIwDtoy0RMlnVVMO2MIE
Permandian Kapontori,"QRMJ+M5F, Watumotobe, Buton Regency",-5.2158219,122.8304287,"tourist_attraction, point_of_interest, establishment",ChIJNwXbrWDuoy0RCYCnokQ-D08
Permandian Kawuna-wuna,"J76X+CQ, Kance Bungi, Buton Regency",-5.3889293,122.2992367,"tourist_attraction, point_of_interest, establishment",ChIJtW0ZHgB_oy0RRMJE8v6mIHM
PERMANDIAN KOPO-KOPO,"2FHC+G4, Rangka, Muna Regency",-4.9712068,122.4703114,"tourist_attraction, point_of_interest, establishment",ChIJr3LtOXevoy0RE2TtOQ_1C0A
Permandian La Humbe,"Wadiabero, Buton Regency",-5.3465009,122.6114127,"tourist_attraction, point_of_interest, establishment",ChIJ_eGHtNWJoy0RJ8tTi73aqEw
Permandian Laende,"5P29+9P7, Lagasa, Muna Regency",-4.8490775,122.7192826,"point_of_interest, establishment",ChIJxcdrL9rLoy0RpQK9Q3GFcoc
Permandian Lakakuloto,"MJWQ+HX4, Rahia, Kabupaten Buton Tengah",-5.3036179,122.6399601,"park, point_of_interest, establishment",ChIJnyxdUIGNoy0R8IVorkwh7sc
Permandian Lantariri,"HWCF+6V5, Wolowa, Buton Regency",-5.4294782,122.9247349,"park, point_of_interest, establishment",ChIJ1Sf8j0gGpC0R35hRzumxz8A
Permandian Lasunapa,"4PCJ+392, Jl. Sutan Syahrir, Lasunapa, Kabupaten Muna",-4.8798564,122.730888,"park, point_of_interest, establishment",ChIJZ5xYc9nLoy0RBHwxUbaO2cU
Permandian Makokau,"4HV3+94, Latugho, Muna Regency",-4.8565643,122.5528745,"tourist_attraction, point_of_interest, establishment",ChIJCf86fwCzoy0RidvCJnVECO0
PERMANDIAN MANSABURA,"VC7X+22, Bone Kacintala, Muna Regency",-5.1374512,122.4475153,"tourist_attraction, point_of_interest, establishment",ChIJF6XdFwCZoy0RpzAO2MlsHJs
Permandian Matakidi,"4GWW+84P, Latugho, Muna Regency",-4.854164,122.5453371,"tourist_attraction, point_of_interest, establishment",ChIJR7ia85iyoy0RsNVZtLh7bHU
Permandian Moko,"RHGM+7CR, Oempu, Muna Regency",-5.1742711,122.583519,"tourist_attraction, point_of_interest, establishment",ChIJw2nMnd-Woy0Ri0i5V5QrNNs
Permandian Moko,"Dusun Lakahoo Desa Wakambangura 2, Kab. Buton Tengah",-5.3442419,122.267935,"tourist_attraction, point_of_interest, establishment",ChIJVfJRZkN5oy0RVNjC6-VisLo
PERMANDIAN MULTI BAITO,"Q8RC+5XQ, Baito, South Konawe Regency",-4.2095413,122.3224915,"tourist_attraction, point_of_interest, establishment",ChIJZ6A6Est_mC0RRoNyEANz-2M
Permandian ngapa teo,"83M6+2XG, Karya Bhakti, North Buton Regency",-4.6674381,123.062459,"gym, point_of_interest, health, establishment",ChIJLebIEdcpoi0RwH33YLil-Ys
Permandian Putri Wambona,"4VP7+P5G, Wambona, Kabupaten Muna",-4.8631806,122.8629653,"tourist_attraction, point_of_interest, establishment",ChIJg8_mTgDNoy0RTQfm1--cYrQ
Permandian Topa,"7PCG+QFC, Unnamed Road, Labone, Kabupaten Muna",-4.7280502,122.7261505,"tourist_attraction, park, point_of_interest, establishment",ChIJ_fI0myU2oi0Rs8MXAwaagVo
permandian topa,"P8P6+5WM, Banga, Buton Regency",-5.26458,122.3116721,"tourist_attraction, point_of_interest, establishment",ChIJAzfKdwB3oy0RSkNR6N7wxfI
Permandian Topa,"P5V2+8W, Lasalimu, Buton Regency",-5.2566981,123.152319,"tourist_attraction, point_of_interest, establishment",ChIJ_9JPewBXoS0RLvvOHdfKbGU
Permandian twi,"PHRG+RG5, Walando, Buton Regency",-5.2579935,122.576373,"point_of_interest, establishment",ChIJTX5vJYiRoy0R-pCV86768c4
Permandian wakante,"4GVR+W2Q, Latugho, Muna Regency",-4.8551566,122.5401025,"tourist_attraction, point_of_interest, establishment",ChIJwStBGpezoy0RZmVeFiMCNkg
Permandian Wakantee,"4GPW+V9X, Lawa, Latugho, Kabupaten Muna",-4.862752,122.5459879,"tourist_attraction, point_of_interest, establishment",ChIJJ7FhIYWyoy0Rc87QgsVL7GY
Permandian Wakumoro,"WGC4+XP2, Wakumoro, Muna Regency",-5.0776119,122.5067572,"point_of_interest, establishment",ChIJHei7gBqjoy0RuZ_nSQ7LUm0
Permandian Wamose Desa Bhone Kainsetala,"VCMF+2P, Wasolangka, Muna Regency",-5.1173988,122.4242793,"tourist_attraction, point_of_interest, establishment",ChIJcwCtKgChoy0RPQnFYkFA0BQ
Permandian Warumbei,"4GQQ+9R, Latugho, Muna Regency",-4.8615369,122.5395667,"tourist_attraction, point_of_interest, establishment",ChIJCWqWWwCzoy0R_lSg6Hy0u8Y
Permandian watumogha,"2CVH+588, Wansugi, Muna Regency",-4.9938443,122.4124504,"park, point_of_interest, establishment",ChIJ_yH8EJmnoy0RG-2awmLvOgY
PERMANDIAN X ARANO SP8,"P445+66P, Unnamed Road, Mulya Jaya, Kabupaten Buton",-5.2944004,123.1080884,"travel_agency, point_of_interest, establishment",ChIJ7TKMWQlXoS0Rthypf7rL5IE
PT Taman Wisata Apolu valley,"Sanggi-Sanggi, South Konawe Regency",-4.3375625,122.3065625,"tourist_attraction, point_of_interest, establishment",ChIJq2te52eBoi0RCTWN6B0GMX8
Pulau Sampakeha,"JFFM+G9X, Bungi, Buton Regency",-5.3761432,122.4834693,"tourist_attraction, point_of_interest, establishment",ChIJHQFstwuHoy0R5zjtsSamqPs
Spring sangia,"3CP7+6P7, Kabangka, Muna Regency",-4.9144672,122.4142984,"tourist_attraction, park, point_of_interest, establishment",ChIJzfn56mKpoy0R_4Bnesrn_fY
thousand caves,"jalan poros, wamengkoli, buton tengah",-5.3191039,122.38365,"point_of_interest, establishment",ChIJj279ecmDoy0Rm5o8gHI_YPY
Wa Ode Angka Cave,"RH8J+XCJ, Oempu, Muna Regency",-5.1825371,122.5810179,"tourist_attraction, point_of_interest, establishment",ChIJl0cCGemXoy0R4J7YHerYQxA
Wakantee Waterpark,"Latugho, Muna Regency",-4.8626975,122.5458487,"amusement_park, point_of_interest, establishment",ChIJw7WUH4Wyoy0RxQml99iNvhY
Wisata Goa Lakaedu Boneoge Selatan,"JG2F+4RW, Unnamed Road, Boneoge, Kabupaten Buton",-5.3996436,122.5245922,"tourist_attraction, point_of_interest, establishment",ChIJAYgQ6O-Hoy0RaGEmGGwb1Ck
Wisata KAREDE (Permandian Air Hangat),"5XPJ+4GC, Jl. Ronta-Buranga, Een Sumala, Kabupaten Buton Utara",-4.8146801,122.9812462,"tourist_attraction, point_of_interest, establishment",ChIJxx2tDpjToy0R1qqmsCgvhM4
Wisata Permandian Hangka,"4253+357, Desa, Laanoipi, North Buton Regency",-4.8923169,123.0029494,"tourist_attraction, point_of_interest, establishment",ChIJmYMx8bbXoy0RUC5hhVDsYiI
Wisata Permandian Koke,"4GRM+MP8, Latugho, Muna Regency",-4.8583496,122.5343196,"tourist_attraction, point_of_interest, establishment",ChIJX4QA3Oytoy0ROh79uyAHq38
Wisata Permandian Kolat,"8HWW+WCJ, Kombikuno, Muna Regency",-4.6526592,122.5960165,"tourist_attraction, point_of_interest, establishment",ChIJd56XWwBFoi0Rr8vr4wTV098
Wisata Permandian Mata Rombia91,"Jl. Poros Ereke - Buranga, Waculaea, Kabupaten Buton Utara",-4.7115163,123.1487047,"point_of_interest, establishment",ChIJYaXQpx2HoS0Rark471hKX9Y
Wisata permandian watorumbe,"J9JH+2HV, Watorumbe Bata, Buton Regency",-5.3700875,122.3787031,"tourist_attraction, point_of_interest, establishment",ChIJgap9FgCBoy0Rzx6qxDCZdqM
